DBLP.xml, Factory::create WriteToFile, 00:00:14.307_783
DBLP.xml, Factory::create WriteToFile, 00:00:14.559_205
DBLP.xml, Factory::create WriteToFile, 00:00:14.508_964
DBLP.xml, Factory::create WriteToFile, 00:00:14.743_180
DBLP.xml, Factory::create WriteToFile, 00:00:14.676_366
DBLP.xml, Factory::create WriteToFile, 00:00:14.279_440
DBLP.xml, Factory::create WriteToFile, 00:00:14.272_947
DBLP.xml, Factory::create WriteToFile, 00:00:14.529_804
DBLP.xml, Factory::create WriteToFile, 00:00:14.273_949
DBLP.xml, Factory::create WriteToFile, 00:00:14.532_332
DBLP.xml, Factory::create ReadFromFile, 00:00:39.086_771
DBLP.xml, Factory::create ReadFromFile, 00:00:56.311_751
DBLP.xml, Factory::create ReadFromFile, 00:00:49.278_297
DBLP.xml, Factory::create ReadFromFile, 00:00:51.912_155
DBLP.xml, Factory::create ReadFromFile, 00:00:51.752_720
DBLP.xml, Factory::create ReadFromFile, 00:00:48.053_997
DBLP.xml, Factory::create ReadFromFile, 00:00:48.729_689
DBLP.xml, Factory::create ReadFromFile, 00:02:35.779_716
DBLP.xml, Factory::create ReadFromFile, 00:02:45.103_416
DBLP.xml, Factory::create ReadFromFile, 00:00:53.289_441
